Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End,Latitide,Longitude
thrissur,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,10.5256633,76.2131442
bekal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,31.640819,-8.0170698
thekkady,0,0,1,1,0,0,0,0,0,0,0,0,Mar,Apr,9.5804995,77.181142
palakkad,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,10.7691989,76.6512469
alleppey,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,51.3678927,-0.2635978
kasaragod,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,12.502028,74.9899927
kumarakom,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,9.5963291,76.4322398
idukki,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,9.8497872,76.9797914
bilaspur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,22.0785627,82.1476475
barnawapara,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,Null,Null
jagdalpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,19.0870758,82.0235715
bhilai,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,21.2120677,81.3732849
durg,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,21.1897285,81.2746469
raigarh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,22.5,83.5
kanker,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,20.11601885,80.7597301217262
raipur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,21.2379468,81.6336833
nainital,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,29.3920381,79.4555358
kathgodam,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,29.26621,79.54376
devprayag,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,Null,Null
sattal,0,0,0,0,0,0,0,0,1,1,1,1,Sept,Dec,29.3486,79.52866
corbett,1,1,1,1,1,1,0,0,0,0,1,1,Nov,Jun,45.5319463,-122.289714
tehri,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,-7.6691625,138.7199214
haridwar,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,29.9384473,78.1452985
barkot,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,30.808606,78.205961
rudrapur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,28.974744,79.3963951
jageshwar,0,0,1,1,1,1,0,0,1,1,1,0,Sept,Jun,29.63837,79.85413
kedarnath,0,0,0,0,1,1,0,0,0,0,0,0,May,Jun,30.7345609,79.0673204
lansdowne,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,39.9381682,-75.2718507
chakrata,0,0,0,0,0,0,0,0,1,1,1,0,Sept,Nov,30.7013248,77.8703356
rishikesh,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,30.1078741,78.3023052
almora,0,0,0,1,1,1,0,0,0,0,0,0,Apr,Jun,29.6016827,79.6633829
badrinathpuri,0,0,0,0,0,0,0,0,1,1,0,0,Sept,Oct,Null,Null
bageshwar,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,29.837601,79.771398
bhimtal,0,0,0,0,0,0,0,1,1,1,1,0,Aug,Nov,29.3396003,79.5622544
rudraprayag,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,30.28656,78.98072
karanprayag,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,30.2624653,79.2166407
gangotri,0,0,0,1,1,0,0,0,0,0,0,0,Apr,May,30.9943684,78.9398699
chamoli,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,30.5,79.5
srinagar uk,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,Null,Null
roorkee,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,29.8693496,77.8902124
joshimath,0,0,0,0,0,0,0,0,0,0,1,0,Nov,Nov,30.5555752,79.5612607
haldwani,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,29.2151635,79.5266898
kanatal,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,Null,Null
mukteshwar,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov,29.4706999,79.6473354
champawat,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,29.3372715,80.0920862
naukuchiatal,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,Null,Null
ghangaria,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,30.7015903,79.5940714
pithoragarh,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,29.5859752,80.2152904
binsar,0,0,0,1,1,1,0,0,0,0,0,0,Apr,Jun,29.66995,79.70993
yamunotri,0,0,0,1,1,1,0,0,0,0,0,0,Apr,Jun,30.999214,78.4626951
guptakashi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,Null,Null
uttarkashi,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,31.0,78.5
chopta,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,30.3514012,79.0426792
dhanaulti,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,30.424789,78.246201
dehradun,0,0,0,0,1,1,1,1,1,1,0,0,May,Oct,30.3255646,78.0436813
auli,0,0,0,0,1,1,0,0,0,0,0,0,May,Jun,44.2373972,0.7871569
mussoorie,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,30.4569012,78.0782906
ranikhet,0,0,0,0,0,0,0,0,1,1,1,0,Sept,Nov,51.455973,-1.0181455
chaukori,0,0,0,1,1,1,0,0,0,1,1,0,Oct,Jun,29.8386297,80.0314911
kotdwar,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,29.7459823,78.5201358
imphal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,24.8006088,93.9369998
amritsar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,31.6343083,74.8736788
kapurthala,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,31.25,75.25
mohali,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov,30.7287676,76.7138075
pathankot,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr,32.2692452,75.6528858
jalandhar,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,31.3323762,75.576889
patiala,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec,30.3295605,76.4127819
fatehgarh sahib,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,30.5955034,76.4168528131241
gurdaspur,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,32.166667,75.316667
ludhiana,0,1,0,0,0,0,0,0,0,0,0,0,Feb,Feb,30.9090157,75.851601
agartala,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,23.8312377,91.2823821
