Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End,Latitide,Longitude
jammu,0,1,0,0,0,0,0,0,0,0,0,0,Feb,Feb,32.7185614,74.8580917
pahalgam,0,0,1,1,1,1,0,0,0,0,0,0,Mar,Jun,34.0388907,75.3228625
srinagar,0,0,0,1,1,1,0,0,0,0,0,0,Apr,Jun,34.0747444,74.8204443
mandawa,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,28.0558375,75.1483915
udaipur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,24.5787228,73.6862551
kota,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,25.0,76.5
shekhawati,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,27.9959965,74.9604565
bundi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,25.5,75.833333
bhilwara,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,25.5,74.75
chittaurgarh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,24.5,74.5
alwar,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,27.5,76.5
mount abu,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,24.592433,72.7081876
banswara,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,23.5,74.333333
kumbhalgarh,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,25.1480528,73.5827479
jodhpur,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,26.2967719,73.0351433
ajmer,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar,26.25,74.666667
bikaner,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,28.166667,73.166667
jaisalmer,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,26.9116615,70.9124888
hanumangarh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,29.37878425,74.3258026624293
pushkar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.4876472,74.5578484
nathdwara,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,24.9303453,73.8224937
jaipur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,26.9161293,75.8204056
neemrana,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,27.9921616,76.3856561
ranthambore,1,1,1,1,0,0,0,0,0,0,1,1,Nov,Apr,26.0183947,76.4563063859611
behror,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,27.8900657,76.2858227
bharatpur,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,27.2154447,77.4986962
barmer,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,25.75,71.5
sawai madhopur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,26.5,76.75
yanam,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,16.748068,82.216112
karaikal,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,10.916667,79.75
pondicherry,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov,-34.0378295,18.3474093
lachung,1,1,1,1,1,1,0,0,0,1,1,1,Oct,Jun,27.7029236,88.7492609
yuksam,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,27.3651514,88.2329762
aritar,0,0,1,1,1,0,0,0,0,0,0,0,Mar,May,Null,Null
gangtok,0,0,1,1,1,0,0,0,0,0,0,0,Mar,May,27.329046,88.6122673
pelling,0,1,1,1,1,0,0,0,0,0,0,0,Feb,May,27.3003722,88.2356503
tuljapur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,18.0103904,76.0691572
malshej ghat,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,19.3417108,73.7908886967108
jalgaon,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,21.0137606,75.5627048
vengurla,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May,15.8563,73.6353
pandharpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.677817,75.3340992
nagpur,0,1,0,0,0,0,0,0,0,0,0,0,Feb,Feb,21.1498134,79.0820556
guhagar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.4835209,73.1900483
wardha,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,20.4355888,78.6463504
kashid,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,18.446166,72.9055592
bordi,1,1,0,0,0,0,0,1,1,1,1,1,Aug,Feb,43.1856202,0.9890094
diveagar,1,0,0,0,0,0,0,0,0,1,1,1,Oct,Jan,18.1689943,72.9901817
amboli,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,15.9620587,73.997911
nashik,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb,20.216667,74.083333
mumbai,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb,18.9321862,72.8308337
manmad,1,1,1,1,0,1,1,1,1,1,1,1,Jun,Apr,20.2519828,74.4392286
nanded,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,18.916667,77.5
malwan,1,0,0,0,0,0,0,0,0,0,0,1,Dec,Jan,24.96939395,55.2035910928329
lonavala,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,18.7548563,73.4016729
karjat,0,0,0,0,0,0,1,1,0,0,0,0,Jul,Aug,18.9127655,73.3228202
akola,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null,20.76697255,77.2541275298075
palghar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,19.6978751,72.7686942
shrivardhan,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,18.8274549,73.4000059
sindhudurg,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,16.13135275,73.5021699524798
solapur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.6715272,75.8975502
aurangabad,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec,24.75,84.5
lavasa,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar,18.4032225,73.5067712
mahabaleshwar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,17.9242764,73.6575799
amravati,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb,20.9316219,77.7588455
igatpuri,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar,19.6952545,73.5651436
