Place,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sept,Oct,Nov,Dec,Start,End
pondicherry,0,0,0,0,0,0,0,0,0,1,1,0,Oct,Nov
lachung,1,1,1,1,1,1,0,0,0,1,1,1,Oct,Jun
yuksam,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
aritar,0,0,1,1,1,0,0,0,0,0,0,0,Mar,May
gangtok,0,0,1,1,1,0,0,0,0,0,0,0,Mar,May
pelling,0,1,1,1,1,0,0,0,0,0,0,0,Feb,May
tuljapur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
malshej ghat,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
jalgaon,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
vengurla,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
pandharpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
nagpur,0,1,0,0,0,0,0,0,0,0,0,0,Feb,Feb
guhagar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
wardha,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar
kashid,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
bordi,1,1,0,0,0,0,0,1,1,1,1,1,Aug,Feb
diveagar,1,0,0,0,0,0,0,0,0,1,1,1,Oct,Jan
amboli,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
nashik,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
mumbai,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb
manmad,1,1,1,1,0,1,1,1,1,1,1,1,Jun,Apr
nanded,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
malwan,1,0,0,0,0,0,0,0,0,0,0,1,Dec,Jan
lonavala,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
karjat,0,0,0,0,0,0,1,1,0,0,0,0,Jul,Aug
akola,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
palghar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
shrivardhan,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
sindhudurg,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
solapur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
aurangabad,0,0,0,0,0,0,0,0,0,1,1,1,Oct,Dec
lavasa,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar
mahabaleshwar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
amravati,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
igatpuri,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
sawantwadi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
alibag,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
ajanta,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
osmanabad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
dapoli camp,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
shirdi,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb
khandala,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
matheran,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
raigarh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
dhule,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
pune,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
murud janjira,1,1,1,1,1,1,0,0,1,1,1,1,Sept,Jun
kankavli,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
kolhapur,1,1,0,1,1,0,0,0,0,1,1,1,Null,Null
chandrapur,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
panchgani,1,1,1,1,1,0,0,0,1,1,1,1,Sept,May
kudal,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
kolad,1,1,0,0,0,0,0,0,0,0,0,0,Jan,Feb
bhandardara,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
chikhaldara,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
chiplun,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
karad,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
ratnagiri,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
dirang,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
bomdila,0,0,0,1,1,1,1,1,1,1,0,0,Apr,Oct
west siang,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
tawang,0,0,1,1,1,1,1,1,1,0,0,0,Mar,Sept
itanagar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
bhalukpong,0,0,0,0,0,0,0,0,0,0,1,1,Nov,Dec
west kameng,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
neil island,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
havelock island,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
port blair,0,0,0,0,0,0,0,0,0,0,1,1,Nov,Dec
pachmarhi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
indore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
ratlam,1,1,1,1,1,0,0,0,0,1,1,1,Oct,May
pench,1,1,1,0,0,0,0,0,0,0,1,1,Nov,Mar
bhopal,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
ujjain,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
chanderi,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
mandav,1,1,1,0,0,0,1,1,1,1,1,1,Jul,Mar
gwalior,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
orchha,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
jabalpur,1,0,0,0,0,0,0,0,0,1,1,1,Oct,Jan
bandhavgarh,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
kanha,0,0,1,0,0,0,0,0,0,0,0,0,Mar,Mar
omkareshwar,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
khajuraho,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
amarkantak,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
dewas,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
chhatarpur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
vidisha,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
sagar,1,0,0,0,0,0,0,0,0,0,1,1,Nov,Jan
tezpur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
jorhat,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
silchar,0,0,0,0,1,1,0,0,0,0,0,0,May,Jun
guwahati,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
haflong,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
kaziranga,1,1,1,1,0,0,0,0,0,0,1,1,Nov,Apr
dibrugarh,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
sibsagar,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
hosur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
mamallapuram,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
thiruchendur,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
kumbakonam,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
vellore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
dindigul,1,1,1,0,0,0,0,0,1,1,1,1,Sept,Mar
ooty,0,0,0,0,1,1,0,0,0,0,0,0,May,Jun
erode,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
tiruvannamalai,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
tirunelveli,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
chennai,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
yelagiri,1,1,0,0,0,0,0,0,0,0,1,1,Nov,Feb
kanchipuram,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
cuddalore,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
courtalam,1,1,1,0,0,0,1,1,1,1,1,1,Jul,Mar
kanyakumari,0,0,1,0,0,0,0,0,0,0,0,0,Mar,Mar
masinagudi,1,1,1,1,1,0,0,0,0,0,0,1,Dec,May
coonoor,1,1,0,0,0,0,0,0,0,1,1,1,Oct,Feb
kotagiri,1,1,1,1,1,0,0,0,0,0,0,1,Dec,May
kodaikanal,0,0,0,1,1,0,0,0,0,0,0,0,Apr,May
coimbatore,0,0,1,0,0,0,0,0,1,0,0,0,Sept,Mar
rameshwaram,1,1,1,1,0,0,0,0,0,1,1,1,Oct,Apr
mayiladuthurai,1,1,1,0,0,0,0,0,0,1,1,1,Oct,Mar
madurai,1,1,0,0,0,0,0,0,0,0,0,1,Dec,Feb
karur,0,0,0,0,0,0,0,0,0,0,0,0,Null,Null
